Sentences,Score
,
"﻿

CAPITOLO 1

Loomings.",4
,
Mi chiami Ishmael.,4
,
"Alcuni anni fa - non si preoccupano per quanto tempo
precisamente - avere pochi o nessuni soldi nel mio borsellino e niente
particolare per interessarmi su costa, ho pensato che navigherei su a
poco e vedi la parte acquosa del mondo.",4
,
"È un modo di cui ho
l'espulsione della milza e la regolazione della circolazione.",1
,
"Ogni volta che io
si trovi crescendo duro sulla bocca; ogni volta che è un'umidità,
novembre piovigginoso nella mia anima; ogni volta che mi trovo involontariamente
fermandosi un momento prima di magazzini di bara e allevando la retroguardia di ogni
il funerale mi incontro; e particolarmente ogni volta che i miei hypos ottengono un tal superiore
la mano di me, che ordina a un principio morale forte di prevenirmi
da deliberatamente entrare nella strada, e metodicamente bussare
i cappelli della gente via - allora, lo considero momento giusto per arrivare a mare come presto
siccome posso.",4
,
Questo è il mio sostituto per pistola e palla.,4
,
"Con a
l'abbellimento filosofico Cato si butta sulla sua spada; io tranquillamente
prenda alla nave.",4
,
Non c'è niente che sorprende in questo.,4
,
"Se loro ma
l'ha saputo, quasi tutti gli uomini nel loro grado, alcun tempo o altro, nutrono
molto quasi gli stessi sentimenti verso l'oceano con me.",4
,
"Ci adesso è la Sua città insulare di Manhattoes, cinto con una cintura intorno da
le banchine come isole indiane da barriere coralline - il commercio lo circondano da
i suoi cavalloni.",4
,
"Il diritto e lasciato, le strade La prendono waterward.",4
,
"Il suo
il centro estremo è la batteria, dove quel neo nobile è lavato da
le onde, e raffreddato da brezze, fuori da cui alcune ore precedenti sono state
vista di terra.",4
,
Guardi le folle d'acqua-gazers là.,0
,
Circumambulate la città di un pomeriggio di sabato sognante.,3
,
"Vada da
Corlears Hook a Sbaglio di Coenties, e da di là, da Governo inglese,
verso nord.",4
,
Che vede?,0
,
"- Annunciato come sentinelle silenziose tutti intorno
la città, le migliaia di stand su migliaia di uomini mortali fissate in oceano
fantasticherie.",3
,
"Alcuni che si appoggiano agli zipoli; alcuni fatti sedere su
teste del molo; un po' d'ispezione dei bastioni di navi da Cina; alcuni
in alto in alto nell'attrezzatura, come se sforzandosi di arrivare ancora meglio
verso il mare sbirciata.",2
,
"Ma questo è tutto landsmen; di giorni di settimana contenuti in
assicella e cerotto - legato a banchi, inchiodati a panchine, concluse a
scrivanie.",4
,
Come allora è questo?,0
,
Fanno i campi verdi?,0
,
"Che fa loro
qui?",4
,
Ma guardi!,4
,
"qui venga più folle, misurando a passi dritto per l'acqua, e

a quanto pare legato per un tuffo.",3
,
strano,0
