Sentences,Score
"﻿

CHAPITRE 1

Formes indécises.",4
Mon nom est Ishmael.,3
"Il y a toutes années - ne s'inquiètent pas pour combien de temps
précisément - pour avoir peu d'ou aucun argent dans ma porte-monnaie et rien
exposez en détail pour montrer l'intérêt sur la côte, je croyais que je naviguerais sur
un peu et vous voyez la partie saturée d'eau du monde.",4
"C'est une voie dont j'ai
l'expulsion de la rate et le règlement de la circulation.",4
"Chaque fois que je
est dur crescendo sur la bouche ; chaque fois qui est une humidité,
novembre de bruine dans mon âme ; chaque fois que je suis involontairement
quand un moment s'arrêtait avant les entrepôts de cercueil et abordait l'arrière-garde de chacun
Je rencontre l'enterrement ; et particulièrement chaque fois que mes hypos obtiennent un tel supérieur
la main de moi, qui ordonne à un commencement moral fort avec me prévient
deliberatamente pour entrer dans la route et méthodiquement cogner
les chapeaux de la route des gens - alors, je le considère juste le moment pour arriver en mer comme prêtent
puisque je peux.",4
C'est mon remplaçant pour le pistolet et la boule.,4
"Avec à
l'embellissement philosophique Cato est envoyé sur son épée ; je doucement
prenez au navire.",4
Ce n'est rien qu'il y attrape.,4
"S'ils mais
il connaissait lui, presque tous les hommes dans leur degré, aucun temps ou d'autre, ils sont nourrissants
très presque les mêmes sentiments vers l'océan avec moi.",4
"Maintenant c'est votre ville insulaire de Manhattoes, entourée avec une ceinture autour
les quais comme l'Indien entourent à récif-barrières - entourent le commerce
ses chevaux.",4
"Le droit et quitté, les routes le prennent waterward.",4
"Son
le centre extrême est la batterie, où celui-là néo-noble est lavé
les vagues et refroidit aux brises, dehors auquel quelques heures précédentes ont été
vue de terre.",4
Il regarde les foules d'eau - gazers là.,4
Circumambulate la ville d'un après-midi de samedi rêveur.,3
"Aller
Corlears Hook à la Faute de Coenties et de là, du gouvernement anglais,
vers le Nord.",4
Que voit-il ?,0
"- Annoncé comme les sentinelles silencieuses tout autour
la ville, l'éventaire des milliers sur des milliers d'hommes mortels été fixé sur l'océan
fantaisies.",4
"Quelqu'un qui appuient contre les faussets ; quelqu'un a fait la séance sur
témoin de la jetée ; un petit peu de l'inspection des remparts de navires avec la Chine ; quelqu'un
dans haut dans haut dans l'équipement, comme si être tendu lui-même d'arriver encore mieux
vers la mer a jeté un coup d'œil.",4
"Mais c'est chaque landsmen ; au cours des jours de semaine contenue dans
la latte et le plâtre - attaché aux banques ont cloué aux bancs, conclus à
écriture des bureaux.",4
Comment alors c'est cela ?,2
Rendent-ils les champs verts ?,0
"Que fait-il leur
ici ?",0
Mais regardez !,0
"venez ici plus fous, en mesurant au laisser-passer droit pour l'eau et
à combien semble-t-il attaché par un plongeon.",4
Étrange !,0
